domain,category
gmail.com,generic
hotmail.com,generic
gmx.de,generic
gmx.net,generic
gmx.at,generic
earthlink.net,generic
comcast.net,generic
yahoo.com,generic
email.com,generic
mnot.net,personal
henriknordstrom.net,personal
adambarth.com,personal
brianrosen.net,personal
taugh.com,personal
csperkins.org,personal
sandelman.ca,personal
lowentropy.net,personal
gbiv.com,personal
apple.com,company
bt.com,company
cisco.com,company
chromium.org,company
microsoft.com,company
oracle.com,company
orange.com,company
orange-ftgroup.com,company
orange-ft.com,company
google.com,company
facebook.com,company
intel.com,company
verizon.com,company
verizon.net,company
salesforce.com,company
cloudflare.com,company
broadcom.com,company
juniper.net,company
netflix.com,company
akamai.com,company
us.ibm.com,company
qualcomm.com,company
siemens.com,company
boeing.com,company
sandvine.com,company
marconi.com,company
trilliant.com,company
huawei.com,company
zte.com.cn,company
chinamobile.com,company
chinaunicom.cn,company
chinatelecom.cn,company
cnnic.cn,company
telekom.de,company
fujitsu.com,company
caict.ac.cn,academic
scu.edu.cn,academic
tongji.edu.cn,academic
mit.edu,academic
ieee.org,academic
acm.org,academic
berkeley.edu,academic
harvard.edu,academic
lbl.gov,academic
inf.ethz.ch,academic
isoc.org,sdo
icann.org,sdo
amsl.com,sdo
iana.org,sdo
tools.ietf.org,sdo
w3.org,sdo
0-mail.com,generic
007addict.com,generic
020.co.uk,generic
027168.com,generic
0815.ru,generic
0815.su,generic
0clickemail.com,generic
0sg.net,generic
0wnd.net,generic
0wnd.org,generic
1033edge.com,generic
10mail.org,generic
10minutemail.co.za,generic
10minutemail.com,generic
11mail.com,generic
123-m.com,generic
123.com,generic
123box.net,generic
123india.com,generic
123mail.cl,generic
123mail.org,generic
123qwe.co.uk,generic
126.com,generic
126.net,generic
138mail.com,generic
139.com,generic
150mail.com,generic
150ml.com,generic
15meg4free.com,generic
163.com,generic
16mail.com,generic
188.com,generic
189.cn,generic
1auto.com,generic
1ce.us,generic
1chuan.com,generic
1colony.com,generic
1coolplace.com,generic
1email.eu,generic
1freeemail.com,generic
1fsdfdsfsdf.tk,generic
1funplace.com,generic
1internetdrive.com,generic
1mail.ml,generic
1mail.net,generic
1me.net,generic
1mum.com,generic
1musicrow.com,generic
1netdrive.com,generic
1nsyncfan.com,generic
1pad.de,generic
1under.com,generic
1webave.com,generic
1webhighway.com,generic
1zhuan.com,generic
2-mail.com,generic
20email.eu,generic
20mail.in,generic
20mail.it,generic
20minutemail.com,generic
212.com,generic
21cn.com,generic
247emails.com,generic
24horas.com,generic
2911.net,generic
2980.com,generic
2bmail.co.uk,generic
2coolforyou.net,generic
2d2i.com,generic
2die4.com,generic
2fdgdfgdfgdf.tk,generic
2hotforyou.net,generic
2mydns.com,generic
2net.us,generic
2prong.com,generic
2trom.com,generic
3000.it,generic
30minutemail.com,generic
30minutesmail.com,generic
3126.com,generic
321media.com,generic
33mail.com,generic
360.ru,generic
37.com,generic
3ammagazine.com,generic
3dmail.com,generic
3email.com,generic
3g.ua,generic
3mail.ga,generic
3trtretgfrfe.tk,generic
3xl.net,generic
444.net,generic
4email.com,generic
4email.net,generic
4gfdsgfdgfd.tk,generic
4mg.com,generic
4newyork.com,generic
4warding.com,generic
4warding.net,generic
4warding.org,generic
4x4fan.com,generic
4x4man.com,generic
50mail.com,generic
5fm.za.com,generic
5ghgfhfghfgh.tk,generic
5iron.com,generic
5star.com,generic
60minutemail.com,generic
6hjgjhgkilkj.tk,generic
6ip.us,generic
6mail.cf,generic
6paq.com,generic
702mail.co.za,generic
74.ru,generic
7mail.ga,generic
7mail.ml,generic
7tags.com,generic
88.am,generic
8848.net,generic
888.nu,generic
8mail.ga,generic
8mail.ml,generic
97rock.com,generic
99experts.com,generic
9ox.net,generic
a-bc.net,generic
a-player.org,generic
a2z4u.net,generic
a45.in,generic
aaamail.zzn.com,generic
aahlife.com,generic
aamail.net,generic
aapt.net.au,generic
aaronkwok.net,generic
abbeyroadlondon.co.uk,generic
abcflash.net,generic
abdulnour.com,generic
aberystwyth.com,generic
abolition-now.com,generic
about.com,generic
absolutevitality.com,generic
abusemail.de,generic
abv.bg,generic
abwesend.de,generic
abyssmail.com,generic
ac20mail.in,generic
academycougars.com,generic
acceso.or.cr,generic
access4less.net,generic
accessgcc.com,generic
accountant.com,generic
acdcfan.com,generic
acdczone.com,generic
ace-of-base.com,generic
acmecity.com,generic
acmemail.net,generic
acninc.net,generic
acrobatmail.com,generic
activatormail.com,generic
activist.com,generic
adam.com.au,generic
add3000.pp.ua,generic
addcom.de,generic
address.com,generic
adelphia.net,generic
adexec.com,generic
adfarrow.com,generic
adinet.com.uy,generic
adios.net,generic
admin.in.th,generic
administrativos.com,generic
adoption.com,generic
ados.fr,generic
adrenalinefreak.com,generic
adres.nl,generic
advalvas.be,generic
advantimo.com,generic
aeiou.pt,generic
aemail4u.com,generic
aeneasmail.com,generic
afreeinternet.com,generic
africa-11.com,generic
africamail.com,generic
africamel.net,generic
africanpartnersonline.com,generic
afrobacon.com,generic
ag.us.to,generic
agedmail.com,generic
agelessemail.com,generic
agoodmail.com,generic
ahaa.dk,generic
ahk.jp,generic
aichi.com,generic
aim.com,generic
aircraftmail.com,generic
airforce.net,generic
airforceemail.com,generic
airpost.net,generic
aiutamici.com,generic
ajacied.com,generic
ajaxapp.net,generic
ak47.hu,generic
aknet.kg,generic
akphantom.com,generic
albawaba.com,generic
alecsmail.com,generic
alex4all.com,generic
alexandria.cc,generic
algeria.com,generic
algeriamail.com,generic
alhilal.net,generic
alibaba.com,generic
alice.it,generic
aliceadsl.fr,generic
aliceinchainsmail.com,generic
alivance.com,generic
alive.cz,generic
aliyun.com,generic
allergist.com,generic
allmail.net,generic
alloymail.com,generic
allracing.com,generic
allsaintsfan.com,generic
alltel.net,generic
alpenjodel.de,generic
alphafrau.de,generic
alskens.dk,generic
altavista.com,generic
altavista.net,generic
altavista.se,generic
alternativagratis.com,generic
alumni.com,generic
alumnidirector.com,generic
alvilag.hu,generic
ama-trade.de,generic
amail.com,generic
amazonses.com,generic
amele.com,generic
america.hm,generic
ameritech.net,generic
amilegit.com,generic
amiri.net,generic
amiriindustries.com,generic
amnetsal.com,generic
amorki.pl,generic
amrer.net,generic
amuro.net,generic
amuromail.com,generic
ananzi.co.za,generic
ancestry.com,generic
andreabocellimail.com,generic
andylau.net,generic
anfmail.com,generic
angelfan.com,generic
angelfire.com,generic
angelic.com,generic
animail.net,generic
animal.net,generic
animalhouse.com,generic
animalwoman.net,generic
anjungcafe.com,generic
anniefans.com,generic
annsmail.com,generic
ano-mail.net,generic
anonmails.de,generic
anonymbox.com,generic
anonymous.to,generic
anote.com,generic
another.com,generic
anotherdomaincyka.tk,generic
anotherwin95.com,generic
anti-ignorance.net,generic
anti-social.com,generic
antichef.com,generic
antichef.net,generic
antiqueemail.com,generic
antireg.ru,generic
antisocial.com,generic
antispam.de,generic
antispam24.de,generic
antispammail.de,generic
antongijsen.com,generic
antwerpen.com,generic
anymoment.com,generic
anytimenow.com,generic
aol.co.uk,generic
aol.com,generic
aol.de,generic
aol.fr,generic
aol.it,generic
aol.jp,generic
aon.at,generic
apexmail.com,generic
apmail.com,generic
apollo.lv,generic
aport.ru,generic
aport2000.ru,generic
apple.sib.ru,generic
appraiser.net,generic
approvers.net,generic
aquaticmail.net,generic
arabia.com,generic
arabtop.net,generic
arcademaster.com,generic
archaeologist.com,generic
archerymail.com,generic
arcor.de,generic
arcotronics.bg,generic
arcticmail.com,generic
argentina.com,generic
arhaelogist.com,generic
aristotle.org,generic
army.net,generic
armyspy.com,generic
arnet.com.ar,generic
art-en-ligne.pro,generic
artistemail.com,generic
artlover.com,generic
artlover.com.au,generic
artman-conception.com,generic
as-if.com,generic
asdasd.nl,generic
asean-mail,generic
asean-mail.com,generic
asheville.com,generic
asia-links.com,generic
asia-mail.com,generic
asia.com,generic
asiafind.com,generic
asianavenue.com,generic
asiancityweb.com,generic
asiansonly.net,generic
asianwired.net,generic
asiapoint.net,generic
askaclub.ru,generic
ass.pp.ua,generic
assala.com,generic
assamesemail.com,generic
astroboymail.com,generic
astrolover.com,generic
astrosfan.com,generic
astrosfan.net,generic
asurfer.com,generic
atheist.com,generic
athenachu.net,generic
atina.cl,generic
atl.lv,generic
atlas.cz,generic
atlaswebmail.com,generic
atlink.com,generic
atmc.net,generic
ato.check.com,generic
atozasia.com,generic
atrus.ru,generic
att.net,generic
attglobal.net,generic
attymail.com,generic
au.ru,generic
auctioneer.net,generic
aufeminin.com,generic
