,email_id,entity,type
0,0,Basavaraj Patil,PER
1,1,ML,ORG
2,1,Shanghai,LOC
3,1,GPP,ALLCAPS
4,2,des,PER
5,3,Raj,PER
6,4,Discuss Jari BasavarajPatilnokiacom,PER
7,5,Basavaraj Patil,PER
8,6,Raj,PER
9,7,Alan I,PER
10,7,Hui rahulvsamsungcom,PER
11,7,rahulvsamsungcom,ORG
12,7,suntaochinamobilecom,ORG
13,7,PDN,ORG
14,7,APN,ORG
15,8,Thanks Hui,PER
16,8,people,PER
17,8,Best,PER
18,8,IPv,ORG
19,9,ZTE,ORG
20,10,Jari,PER
21,11,Jari,PER
22,12,China Mobile Workshop,ORG
23,12,Basavaraj Patil Nokia,PER
24,12,David Crowe,PER
25,12,DSMIP,ALLCAPS
26,12,IP,ALLCAPS
27,12,GPP,ALLCAPS
28,13,David I,PER
29,13,Yutaka,PER
30,14,Ah,PER
31,14,Jari David Crowe,PER
32,15,IETF,ORG
33,15,NAT,ALLCAPS
34,16,Hi Charlie DS,PER
35,16,DS,ORG
36,17,CharlieAA I,PER
37,17,DS,PER
38,17,HuiAARe gardsAABehcetAAAA,PER
39,17,Charles E Perkins charliepcomputerorgA,PER
40,17,hostsA,ORG
41,17,IETF,ORG
42,17,ML,ALLCAPS
43,17,PMA,ALLCAPS
44,17,NATA,ALLCAPS
45,17,PA,ALLCAPS
46,18,Raj I,PER
47,18,DS,ORG
48,18,IPv,DIG
49,19,Stefano,PER
50,19,Basavaraj,PER
51,19,IPv,DIG
52,19,Dualstack,ORG
53,20,IETF,ORG
54,20,RFC,MISC
55,20,Internet,MISC
56,20,IVI,ALLCAPS
57,21,RFC,PER
58,21,Apple,ORG
59,21,iPhone,ORG
60,22,Stefano,PER
61,22,GOING,ALLCAPS
62,22,TO,ALLCAPS
63,23,ipv,PER
64,23,Ipv,ORG
65,23,AAAA,ALLCAPS
66,23,NAT,ALLCAPS
67,24,Fred Baker fredciscoco mA,PER
68,24,BasavarajPatilnokiacom BasavarajPatilnokiacomA,PER
69,24,PMA,ORG
70,24,Apple,ORG
71,24,iPhone,ORG
72,24,AAAA,ALLCAPS
73,24,PM,ALLCAPS
74,24,DS,ALLCAPS
75,24,RFC,ALLCAPS
76,25,Charles E,PER
77,25,charliepcomputerorgA,PER
78,25,ACrica,PER
79,25,Jari,PER
80,25,DualstackA,ORG
81,25,payoffAAI,ORG
82,25,Shanghai WorkshopAARegardsAABehcetAAA,ORG
83,26,Frank You,PER
84,26,Hui gerardogqualcommcom SebastianSpeichertmobilenet,PER
85,26,IAPD,ORG
86,26,RFC,ORG
87,26,SebastianSpeichertmobilenet,ORG
88,27,Hi Hui I,PER
89,27,UEs,ORG
90,27,Internet,ORG
91,27,APN,ALLCAPS
92,27,RFC,ALLCAPS
93,28,Teemu,PER
94,28,Franks,PER
95,28,Hui,PER
96,28,UE,ORG
97,28,RSRA,ORG
98,28,hongchengsgpanasoniccom,ORG
99,29,Hi Hui,PER
100,29,GPP,ALLCAPS
101,29,UE,ALLCAPS
102,29,PDP,ALLCAPS
103,29,ISP,ALLCAPS
104,29,RFC,ALLCAPS
105,29,GW,ALLCAPS
106,29,RD,ALLCAPS
107,29,RA,ALLCAPS
108,29,LAN,ORG
109,29,UEs,ORG
110,30,TeemuAA I,PER
111,30,Nemo,PER
112,30,NemoPD,PER
113,30,WG,PER
114,30,teemusavolainennokiac,PER
115,30,teemusavolainennokiacomA,PER
116,30,local,ORG
117,30,PMA,ALLCAPS
118,30,UE,ALLCAPS
119,30,PD,ALLCAPS
120,30,DHCP,ALLCAPS
121,30,RFC,ALLCAPS
122,30,BUBA,ALLCAPS
123,30,RR,ALLCAPS
124,30,HA,ALLCAPS
125,30,MR,ALLCAPS
126,30,AAAA,ALLCAPS
127,30,GPP,ALLCAPS
128,30,PDP,ALLCAPS
129,30,LAN,ALLCAPS
130,30,GW,ALLCAPS
131,30,RD,ALLCAPS
132,30,ISP,ALLCAPS
133,30,RA,ALLCAPS
134,30,DHC,ALLCAPS
135,30,APN,ALLCAPS
136,30,CPE,ALLCAPS
137,30,DA,ALLCAPS
138,30,RE,ALLCAPS
139,30,UEA,ALLCAPS
140,30,RSRAA,ALLCAPS
141,30,RSRA,ALLCAPS
142,30,AMA,ALLCAPS
143,30,IAPD,ALLCAPS
144,30,RFCA,ALLCAPS
145,30,GMOBILECNA,ALLCAPS
146,30,PDA,ALLCAPS
147,30,DHCPA,ALLCAPS
148,30,ECN,ALLCAPS
149,30,YC,ALLCAPS
150,30,NGMOBILECNA,ALLCAPS
151,30,BENNETT,ALLCAPS
152,30,PS,ALLCAPS
153,30,SA,ALLCAPS
154,31,Teemu You,PER
155,31,EPC PDP,ORG
156,31,UE RSRA,ORG
157,31,DHCPv,DIG
158,31,APN,ALLCAPS
159,32,RFC,ORG
160,32,farooqbariattcom nishidaknttdocomocojp xzhaorimcom,ORG
161,32,denghuichinamobilecom,ORG
162,32,Frank farooqbariattcom,PER
163,32,xzhaorimcom,PER
164,32,huaruiliangsamsungcom,PER
165,32,FB,ALLCAPS
166,34,PDP,ORG
167,34,PDN,ORG
168,34,UE,ORG
169,34,RSRA,ORG
170,34,SLAAC,ORG
171,34,Network,ORG
172,34,UEs,ORG
173,34,PDN GW,ORG
174,34,Internet,ORG
175,34,GW wi,PER
176,34,Teemu,PER
177,34,ABBA,ALLCAPS
178,34,ISP,ALLCAPS
179,34,GW,ALLCAPS
180,34,RS,ALLCAPS
181,34,RA,ALLCAPS
182,34,APN,ALLCAPS
183,35,UE,ORG
184,35,UEs,ORG
185,35,ABBA,ALLCAPS
186,35,ISP,ALLCAPS
187,36,Behcet,PER
188,36,Teemu,PER
189,36,Nemo,ORG
190,37,UE,ORG
191,37,IANA,ORG
192,37,GPP,ALLCAPS
193,37,PCC,ALLCAPS
194,37,RIR,ALLCAPS
195,37,CPE,ALLCAPS
196,38,Teemu,PER
197,38,my side teemusavolainennokiacom,PER
198,38,PDN GW,ORG
199,38,SLAAC,ORG
200,38,RSRA,ORG
201,38,UE,ALLCAPS
202,38,PDP,ALLCAPS
203,38,EPS,ALLCAPS
204,39,Julien,PER
205,39,an UE,PER
206,39,Teemu,PER
207,39,UEs,ORG
208,39,RFC,ALLCAPS
209,39,APN,ALLCAPS
210,39,LTE,ALLCAPS
211,39,PD,ALLCAPS
212,40,teemusavolainennokiacom,PER
213,40,UE,ORG
214,40,UEs,ORG
215,40,RFC,ALLCAPS
216,40,OTOH,ALLCAPS
217,41,Teemu I,PER
218,41,ur,PER
219,41,Thanks Hui,PER
220,41,APN,ORG
221,41,PD,ORG
222,41,PDP,ORG
223,41,RSRA,ORG
224,41,PDN,ORG
225,43,Fredrik You,PER
226,43,UE,ORG
227,43,GW,ORG
228,43,UEs,ORG
229,43,RIRIANA,ORG
230,43,RA,ALLCAPS
231,44,UE,ORG
232,44,RFC,ORG
233,44,DHCPv,ORG
234,44,Teemu,PER
235,44,GW,ALLCAPS
236,44,PD,ALLCAPS
237,45,RD,ALLCAPS
238,45,IPvonly,ORG
239,45,UE,ORG
240,46,Hi Hui,PER
241,46,origi,PER
242,46,PDN,ORG
243,46,APN,ALLCAPS
244,47,TeemuAA,PER
245,47,Nemo I,PER
246,47,dsAABehcetAAA,PER
247,47,teemusavola inennokiacom teemusavolainennokiacomA,PER
248,47,sarikayaieeeorg,PER
249,47,ietforgA,PER
250,47,Sarikaya,PER
251,47,cetsarikayayahoocomA,PER
252,47,Savolain en Teemu NokiaDMSWTampere gvietforgA,PER
253,47,ce,ORG
254,47,ISP,ALLCAPS
255,47,AMA,ALLCAPS
256,47,RE,ALLCAPS
257,47,PDA,ALLCAPS
258,47,WG,ALLCAPS
259,47,DHCP,ALLCAPS
260,47,PD,ALLCAPS
261,47,RFCA,ALLCAPS
262,47,BUBA,ALLCAPS
263,47,RR,ALLCAPS
264,47,HA,ALLCAPS
265,47,MRA,ALLCAPS
266,47,PMA,ALLCAPS
267,47,RFC,ALLCAPS
268,47,GPP,ALLCAPS
269,47,UE,ALLCAPS
270,47,PDPA,ALLCAPS
271,47,AN,ALLCAPS
272,47,PDP,ALLCAPS
273,47,GW,ALLCAPS
274,47,RD,ALLCAPS
275,47,RA,ALLCAPS
276,47,UEA,ALLCAPS
277,47,APN,ALLCAPS
278,47,APNA,ALLCAPS
279,47,CPE,ALLCAPS
280,47,DA,ALLCAPS
281,47,RSRA,ALLCAPS
282,47,IAPD,ALLCAPS
283,47,SP,ALLCAPS
284,47,DHCPA,ALLCAPS
285,47,GPPA,ALLCAPS
286,47,YC,ALLCAPS
287,47,BENNETT,ALLCAPS
288,48,France Telecom Group,ORG
289,48,CPE,ALLCAPS
290,49,Bechet I,PER
291,49,CPE,ORG
292,49,WLAN,ORG
293,49,NA,ORG
294,49,ND,ALLCAPS
295,49,ISP,ALLCAPS
296,49,RFC,ALLCAPS
297,50,David,PER
298,50,PD,ALLCAPS
299,50,CPE,ALLCAPS
300,51,Teemu,PER
301,51,twork,PER
302,51,the UE,ORG
303,51,the network,ORG
304,51,UE,ORG
305,51,PDN,ORG
306,51,Network,ORG
307,51,GPP,ORG
308,51,IETF,ORG
309,51,RA,ALLCAPS
310,51,PD,ALLCAPS
311,52,Julien,PER
312,52,t he operator,PER
313,52,DHCPv,PER
314,52,RFC,ALLCAPS
315,52,IP,ALLCAPS
316,52,RD,ALLCAPS
317,53,Teemu,PER
318,53,UE,ALLCAPS
319,53,GPP,ALLCAPS
320,53,PCC,ALLCAPS
321,54,Fredrik,PER
322,54,me Frank,PER
323,54,PEs,PER
324,54,Teemu,ORG
325,54,ID,ALLCAPS
326,55,Jari Arkko,PER
327,56,Hi allAAAAJari,PER
328,56,allAAAAJari,ORG
329,56,GPP,ALLCAPS
330,56,AAI,ALLCAPS
331,57,teemusavolainennokiacom,PER
332,57,yousavolainennokiacomA,PER
333,57,sarikayaieeeorgA,PER
334,57,gvbouncesietforg,PER
335,57,OfA,PER
336,57,SarikayaA,PER
337,57,gvietforgA,PER
338,57,A Jari Arkko,PER
339,57,PDN,ORG
340,57,AR,ORG
341,57,DHCP,ALLCAPS
342,57,UE,ALLCAPS
343,57,AA,ALLCAPS
344,57,PD,ALLCAPS
345,57,SLAAC,ALLCAPS
346,57,PMA,ALLCAPS
347,57,RE,ALLCAPS
348,57,EPS,ALLCAPS
349,57,RFC,ALLCAPS
350,57,GPP,ALLCAPS
351,59,PDN,ORG
352,59,UE,ORG
353,59,GPP,ORG
354,59,UEs,ORG
355,59,Teemu,PER
356,59,PD,ALLCAPS
357,60,GPP,ORG
358,60,UE,ORG
359,60,AR,ORG
360,60,SLAAC,ORG
361,60,Jouni,PER
362,60,teemusavolainennokiacom,PER
363,60,PGW,ALLCAPS
364,60,AAA,ALLCAPS
365,60,RFC,ALLCAPS
366,60,DHCP,ALLCAPS
367,60,AM,ALLCAPS
368,60,PDN,ALLCAPS
369,60,GW,ALLCAPS
370,61,IETF,ORG
371,61,GPP,ORG
372,61,IMHO,ORG
373,61,PDN,ORG
374,61,UE,ORG
375,61,France Telecom Group,ORG
376,61,DHPC,PER
377,61,PCOIE,PER
378,61,MN,ALLCAPS
379,61,ETFGPP,ALLCAPS
380,62,BEHAVE,PER
381,62,UTRAN,ORG
382,62,NAT,ALLCAPS
383,62,DNS,ALLCAPS
384,62,SAE,ALLCAPS
385,63,Teemu I,PER
386,63,ID,ALLCAPS
387,64,UE AR,ORG
388,64,Mext,ORG
389,64,Network,ORG
390,64,MR,ORG
391,64,DHCP,ORG
392,64,UE,ALLCAPS
393,64,RR,ALLCAPS
394,64,IP,ALLCAPS
395,64,Teemu,PER
396,64,WG,PER
397,64,Nemo,PER
398,65,David davidbinetorangeftgroupcom,PER
399,65,GPP,ORG
400,65,IETF,ORG
401,65,UE,ORG
402,65,SLAAC,ALLCAPS
403,65,PCO,ALLCAPS
404,65,IMHO,ALLCAPS
405,66,Hello,ORG
406,66,IMHO,ORG
407,66,Teemu teemusavolainennokiacom,PER
