domain,nr_of_mlists,nr_of_localparts
126.com,4,5
163.com,18,27
163.net,1,1
189.cn,10,14
263.net,4,7
3com.com,1,2
3g-gprs.com,1,1
3g.nec.com.au,4,8
3genesis.com,1,1
3gpp.org,20,27
3in.org,2,3
459consulting.com,2,2
5g-mag.com,2,2
7layers-uk.com,1,1
7layers.com,3,4
7layers.de,5,10
a1telekom.at,2,2
aal.siemens.dk,2,2
abp2003.cn,1,1
abs.ac.cn,3,4
accesspartnership.com,1,1
acermn.com.tw,1,2
acision.com,7,9
acm.org,1,1
acmepacket.com,2,2
acorntech.com,1,2
actcom.co.il,1,1
acterna.com,1,1
adare.de,2,2
aepona.com,2,3
aeroflex.com,8,20
affirmednetworks.com,2,2
agd.gov.au,1,1
agere.com,2,2
agilent.com,9,25
ah.jp.nec.com,1,1
aioti.eu,1,1
air-lynx.com,1,1
airbiquity.com,6,11
airbus.com,14,19
airslide.com,1,1
airtel.es,4,5
airvana.com,4,7
airwavesolutions.co.uk,1,1
aj.jp.nec.com,6,6
ak.jp.nec.com,1,1
alcatel-lucent.be,2,2
alcatel-lucent.com,30,190
alcatel-lucent.de,5,5
alcatel-lucent.fr,13,28
alcatel-sbell.com.cn,6,10
alcatel.be,3,8
alcatel.com,1,1
alcatel.de,13,25
alcatel.fr,22,128
alcatelaleniaspace.com,3,3
alcatelonetouch.com,2,3
aldiscon.ie,1,3
alexanderresources.com,1,1
alibaba-inc.com,7,8
alice.it,1,1
allgon.se,2,2
allot.com,9,9
altair-semi.com,1,1
alticelabs.com,1,1
altiostar.com,2,3
alunos.det.ua.pt,1,1
am1.ericsson.se,11,28
amdocs.com,4,6
analog.com,2,2
anam.com,1,1
andrew.com,9,16
anemonetechnology.com,2,2
anet.com,1,1
anite.com,12,48
anitetelecoms.com,4,8
anritsu.com,14,50
anterix.com,2,2
aol.com,8,15
ap.jp.nec.com,2,2
apertio.com,1,1
apica.com,1,1
appcomsci.com,5,5
apple.com,35,124
applus.com,1,1
aptg.com.tw,2,5
aqsacom.com,1,3
arago.utwente.nl,1,1
arcon.com,1,1
arib.or.jp,10,27
aricent.com,5,15
arm.com,3,4
arraycomm.com,1,1
art.alcatel.fr,2,3
asiainfo.com,2,2
asiasat.com,1,1
astellia.com,1,1
astri.org,2,2
astrid.be,3,3
asus.com,3,3
asus.com.tw,1,1
at4wireless.com,7,17
ateliertelecom.se,1,1
ateme.com,3,4
atos.net,2,2
atr.jp,1,1
att.com,53,143
att.net,1,1
attglobal.net,8,9
attws.com,17,40
audi.de,1,1
audience.com,1,2
audiocodes.com,2,4
audioresearchlabs.com,1,1
australiamail.com,1,1
ausystem.com,1,1
ausystem.se,2,2
av.it.pt,1,1
avantiplc.com,1,1
ax.jp.nec.com,4,4
axalto.com,4,6
ay.jp.nec.com,1,1
az.jp.nec.com,3,4
azairenet.com,3,6
azimuthsystems.com,1,3
b-com.com,2,2
baesystems.com,1,3
bamboomc.com,3,4
bb.softbank.co.jp,1,1
bbc.co.uk,7,10
bc.jp.nec.com,3,3
bdbos.bmi.bund.de,4,9
bea.com,1,1
beatnik.com,1,1
belgacom.be,3,3
bell.ca,12,16
benefon.fi,1,1
benq.com,4,6
bijitec.com,2,2
billing.ru,1,1
bird.advantest.co.jp,1,1
bit.edu.cn,1,1
bj.chinamobile.com,1,1
bj.xinwei.com.cn,1,1
bjo.ericsson.se,1,1
bk.jp.nec.com,1,1
bk.mitsubishielectric.co.jp,4,4
bla.satyam.com,1,1
blackberry.com,37,75
bln1.siemens.de,1,1
bluetest.se,1,4
bnetza.de,8,16
bouyguestelecom.fr,8,11
bp.mitsubishielectric.co.jp,1,1
bq.jp.nec.com,3,3
brandcomms.com,2,2
bridgeport-networks.com,2,3
bridgewatersystems.com,2,2
broadcom.com,26,77
broadpeak.tv,1,1
broadsoft.com,1,1
brocade.com,1,1
brturbo.com,2,2
bscc.bls.com,1,1
bsf.alcatel.fr,4,5
bt.com,29,91
btcellnet.co.uk,2,2
btcellnet.net,4,6
btinternet.com,11,13
btmaa.bel.alcatel.be,1,1
btopenworld.com,1,1
bupt.edu.cn,1,1
bureauveritas.com,3,3
ca.sema.com,1,1
cable.comcast.com,1,1
cablelabs.com,10,18
cableplus.com.cn,1,1
cadence.com,2,4
caict.ac.cn,13,25
caltta.com,1,1
cam.ac.uk,1,1
camiant.com,1,2
canon-europe.com,1,1
cantata.com,1,1
caryer.co.uk,1,1
casa-systems.com,3,3
cassidian.com,2,3
catapult.com,1,1
catr.cn,11,18
catt.ac.cn,5,17
catt.cn,44,155
cb.jp.nec.com,2,2
cbn.cn,4,6
ccm.cl.nec.co.jp,2,2
ccmail.mcd.yh.nec.co.jp,2,2
ccpu.com,3,4
ccrle.nec.de,3,4
