name,category
Google,
Cisco,Networking equipment vendor
Cisco Systems,Networking equipment vendor
Juniper Networks,Networking equipment vendor
Nokia,Networking equipment vendor
Huawei,Networking equipment vendor
Ericsson,Networking equipment vendor
Internet Society,Internet Governance Body
Apple,Consumer hardware and software vendor
Apple Inc.,Consumer hardware and software vendor
Facebook,Content Provider
Microsoft,Consumer hardware and software vendor
ICANN,Internet Governance Body
Akamai Technologies,Content Distribution Network
RIPE NCC,Internet Registry
NIST,National Standards Body
Futurewei,Networking equipment vendor
UPSA,
MISA,
AMS,IETF secretariat
ETRI,Research Institution
Verisign,Internet Registry
NTT,Telecommunications Provider
Mozilla,Software provider
Fastly,Content Distribution Network
Tsinghua University,Research Institution
Inria,Research Institution
APNIC,Internet Registry
NLnet Labs,Research Institution
ISC,Internet Registry
BT,Telecommunications Provider
IMT Atlantique,
Deutsche Telekom,Telecommunications Provider
"University of Professional Studies, Accra",
JPRS,Internet Registry
Cloudflare,Content Distribution Network
Siemens AG,Networking equipment vendor
ZTE,Networking equipment vendor
Arrcus,
Arista Networks,
Verizon,Internet Registry
SECOM,
Oracle,
Orange,Telecommunications Provider
Intel,
cyberstorm.mu,
Kyungpook National University,
AT&T,Telecommunications Provider
NASA,
InterDigital,
Sorenson Communications,
University of Oslo,Research Institution
SSU,
Charter Communications,
SIDN,Internet Registry
Comcast,
IANA,
CAICT,
University of Helsinki,Research Institution
Internet Initiative Japan Inc.,
Technische Universit�t Dresden,Research Institution
Meetecho,
GoDaddy,Internet Registry
TU Dresden,Research Institution
RISE Research Institutes of Sweden,Research Institution
China Telecom,Telecommunications Provider
Linespeed,
Netflix,Content Providers
University of Washington,Research Institution
LACNIC,Internet Registry
Salesforce,
NTT Communications,
Afilias,Internet Registry
genua GmbH,
"TwoFive, Inc.",
IDNIC - APJII,
Taiwan Network Information Center,
Hughes Network Systems,
Moratel International Pte Ltd,
MITRE,
Telkom University,
Eland Systems,
NIC.br,Internet Registry
KAIST,
US Bank,
Toga Networks,
NetApp,Content Distribution Network
Alcatel,Consumer hardware and software vendor
Alcatel-Lucent,Consumer hardware and software vendor
3GPP,
Airbus,
7layers,
Acision,
Aeroflex,
Agilent,
Airbiquity,
Airbus,
Airvana,
NEC,
Alcatel-Sbell,Consumer hardware and software vendor
Alibaba,
Anite,
Anite Telecoms,
Anritsu,
Aol,
ARIB,National Standards Body
Aricent,
At4 Wireless,
BBC,
