,Ipc-gnso rank,Ipc-gnso count,wp4 rank,wp4 count,Ncuc-discuss rnak,Ncuc-discuss count
aaikman,17,328,,,,
above,,,,,29,5325
accountability,,,6,116,,
acm,,,10,109,,
action,,,57,65,,
activities,,,32,81,,
address,,,,,74,4098
adverse,,,39,76,,
against,,,38,76,,
agenda,,,,,48,4609
agree,,,,,81,4037
agreement,26,208,,,,
alac,,,,,58,4337
amendment,,,51,68,,
analysis,,,7,114,,
anyone,,,,,96,3895
argopacific,,,18,89,,
ask,93,109,,,,
associated,37,170,,,,
aug,27,207,,,,
author,73,124,,,,
awmfaw,63,136,,,,
based,,,,,72,4105
begin,,,35,80,,
behalf,,,,,97,3884
below,,,,,65,4202
bernard,,,94,54,,
between,,,,,73,4105
bin,,,,,12,6419
blog,24,222,,,,
board,,,59,64,,
bob,99,105,,,,
both,,,72,61,,
bylaws,49,145,,,67,4182
bytes,,,93,54,,
carlos,,,,,90,3930
case,,,,,54,4423
cctld,,,5,121,,
cctlds,,,42,73,,
ccwp,,,63,62,,
ch,,,,,50,4572
change,,,,,71,4125
channelisles,,,47,70,,
charter,70,127,,,7,7213
civil,,,,,61,4280
comlaude,8,409,,,,
comment,,,,,9,6901
concern,,,54,66,,
consensus,,,,,87,3952
consider,,,67,62,,
constituencies,,,,,25,5542
control,20,317,,,,
could,88,111,,,,
covenant,,,11,109,,
crocker,57,139,,,,
cross,38,169,15,90,,
cultural,,,19,89,,
cwg,25,211,,,,
cwmfaq,50,144,,,,
data,,,,,18,6003
david,,,49,69,,
decision,,,,,85,3963
declaration,,,21,88,,
desc,,,92,54,,
different,,,,,99,3826
discussed,,,87,56,,
dkaeptxc_olphqqkf5y_g,45,149,,,,
doc,,,52,67,,
docs,,,13,92,,
draft,,,,,30,5271
drake,,,,,1,10322
each,,,,,46,4720
ec,,,,,5,7455
economic,,,82,58,,
edit,,,55,66,,
election,,,,,47,4630
en,,,,,0,10426
enterprise,,,44,72,,
expertise,76,121,,,,
expression,,,12,101,,
final,,,41,74,,
following,,,,,66,4201
forward,,,,,98,3859
free,,,,,42,4812
freedom,,,2,126,,
functions,64,134,,,,
gac,,,,,20,5809
get,,,60,64,,
gif,36,172,,,,
global,90,110,,,36,4956
go,,,,,80,4053
going,,,,,82,4020
gross,,,,,39,4907
groups,,,76,60,21,5785
gtlaw,5,433,,,,
gtld,29,189,,,13,6407
gtlds,59,139,,,88,3942
having,,,48,70,,
he,,,,,10,6646
high,,,20,89,,
his,,,,,76,4078
hr,,,68,62,,
hzc2imnqt2jzf4ve7hxwxw,42,164,,,,
iana,,,46,71,,
iccpr,,,78,60,,
id,81,118,,,,
ietf,2,1061,,,,
image002,53,142,,,,
impact,,,24,87,,
impacts,,,4,121,,
implementation,,,37,77,,
including,,,71,61,51,4516
inclusion,,,34,80,,
instruments,,,22,88,,
interact,,,74,60,,
interests,,,,,45,4751
internationally,,,1,128,,
ip,23,255,,,,
ipjustice,,,,,14,6399
ipr,11,355,,,,
isoc,48,146,,,,
jeff,0,1518,,,,
jeffrey,52,142,,,,
jintlaw,60,138,,,,
join,,,,,84,3974
just,95,107,,,,
kavouss,,,53,67,,
kb,92,109,,,,
large,,,,,35,4989
last,,,,,93,3913
laude,62,138,,,,
least,,,70,61,,
legal,,,17,89,,
leonfelipe,,,64,62,,
level,,,,,31,5245
levels,83,114,,,,
license,7,428,,,,
listserv,,,,,17,6071
lrrlaw,6,432,,,,
mail,51,143,,,43,4755
making,,,81,59,60,4283
manage,28,200,,,,
march,87,112,,,,
mark,32,178,,,,
matthew,,,36,79,,
mcgrady,22,283,,,,
mclean,55,139,,,,
mean,,,86,56,,
meetings,,,,,40,4898
membership,,,,,16,6384
might,,,97,53,,
multistakeholder,96,107,,,,
mx,,,61,63,,
name,,,66,62,,
ncc,,,,,79,4054
net,39,166,9,110,41,4812
neuman,1,1430,,,,
nomcom,,,,,83,3979
noncommercial,,,,,37,4931
none,,,,,62,4249
note,,,62,63,,
npoc,,,,,26,5489
ntia,56,139,,,,
number,,,,,55,4407
obligations,,,40,75,,
ojedeji,,,43,73,,
organization,,,,,11,6604
organizations,,,96,53,19,5809
own,89,111,,,70,4136
paper,,,85,56,,
participation,,,,,49,4603
particular,,,80,60,,
parties,,,89,55,,
party,43,162,99,53,,
pdf,,,,,69,4147
pdp,18,323,,,,
people,80,118,,,,
performance,94,108,,,,
permission,54,140,,,,
pinnacle,61,138,,,,
place,,,30,82,,
pmcgrady,9,401,,,,
png,41,165,,,,
position,,,,,34,5038
possible,,,14,92,,
privacy,,,,,28,5419
privilege,78,119,,,,
program,86,112,,,92,3915
proofpoint,14,338,,,,
proposal,,,,,24,5626
proposed,,,,,33,5079
protection,,,,,68,4161
provisions,69,128,,,,
put,72,126,,,,
qfxrnhuoadtruorsmpaepelpvj4obiepcbqk5uujmqc,68,130,,,,
quality,12,354,,,,
question,30,186,,,89,3934
questions,,,,,44,4753
rafik,,,,,75,4082
rationale,,,91,54,,
reading,66,132,,,,
reason,91,109,,,,
receipt,74,123,,,,
recognized,,,3,122,,
registrars,,,,,59,4323
registry,,,,,23,5691
relationship,,,65,62,,
relationships,,,98,53,,
relevant,,,84,57,,
report,,,,,4,8744
representative,,,,,77,4076
resolution,98,106,,,,
resolutions,97,106,,,,
resources,47,147,,,,
responsibility,,,29,84,,
results,,,56,65,,
review,,,,,15,6393
right,,,,,57,4345
rights,,,,,8,7009
role,,,73,61,,
said,,,,,91,3916
school,,,,,64,4244
second,,,90,55,,
section,,,25,84,,
services,21,292,,,,
set,67,131,,,,
seun,,,23,87,,
since,65,132,,,,
size,,,83,58,,
sles,82,115,,,,
social,,,28,84,,
society,,,,,22,5723
stakeholder,,,,,56,4361
starting,,,50,69,,
state,,,69,62,,
